stack=a5n_s2;stackdb=a5n_s2_db2;saveTime=3525316772.327000;version=20150903_v1;,
idx,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,bsss,bssm,bSum,bMean,bSD,bN,bxyManual,bxPos,byPos,dSum,dMean,dSD,dN,dPlus,dMinus,bsds,bsdm,sp_struct,sp_am,den_am,,
188.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
189.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
190.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
191.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
192.000000,NaN,NaN,3525156499.506000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,22292.000000,121.426136,84.701933,176.000000,17271.000000,92.897727,5021.000000,28.528409,15.480099,176.000000,NaN,100.118004,59.775997,7689270.000000,70.125581,91.813041,430.000000,NaN,NaN,7684249.000000,41.597172,NaN,NaN,NaN,NaN,
193.000000,NaN,NaN,3525156499.508000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,30574.000000,179.847059,236.145603,170.000000,28429.000000,167.229412,2145.000000,12.617647,4.550926,170.000000,NaN,95.225655,63.526657,43901.000000,457.302083,252.580831,96.000000,14.000000,14.000000,41756.000000,444.684436,NaN,NaN,NaN,NaN,
194.000000,NaN,NaN,3525156499.510000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,16850.000000,102.743902,104.855063,164.000000,14729.000000,89.810976,2121.000000,12.932927,6.026660,164.000000,NaN,86.403336,69.998337,25989.000000,313.120482,250.008409,83.000000,13.000000,13.000000,23868.000000,300.187555,NaN,NaN,NaN,NaN,
195.000000,NaN,NaN,3525156499.512000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,12111.000000,92.450382,77.308594,131.000000,10898.000000,83.190840,1213.000000,9.259542,4.490311,131.000000,NaN,71.836838,64.941154,18016.000000,257.371429,36.359386,70.000000,11.000000,11.000000,16803.000000,248.111887,NaN,NaN,NaN,NaN,
196.000000,NaN,NaN,3525156499.514000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,17553.000000,113.245161,105.125673,155.000000,15573.000000,100.470968,1980.000000,12.774194,5.379794,155.000000,NaN,72.984505,49.923496,24672.000000,277.213483,101.842623,89.000000,13.000000,13.000000,22692.000000,264.439290,NaN,NaN,NaN,NaN,
197.000000,NaN,NaN,3525156499.516000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,31521.000000,177.084270,216.072385,178.000000,29486.000000,165.651685,2035.000000,11.432584,5.376077,178.000000,NaN,82.373459,51.628464,40766.000000,429.115789,290.528457,95.000000,14.000000,14.000000,38731.000000,417.683205,NaN,NaN,NaN,NaN,
198.000000,NaN,NaN,3525156499.518000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,29240.000000,162.444444,161.278870,180.000000,26928.000000,149.600000,2312.000000,12.844444,4.143814,180.000000,NaN,81.019997,49.568085,41349.000000,347.470588,297.131222,119.000000,15.000000,15.000000,39037.000000,334.626144,NaN,NaN,NaN,NaN,
199.000000,NaN,NaN,3525156499.520000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,7299.000000,52.891304,46.772892,138.000000,4606.000000,33.376812,2693.000000,19.514493,11.741893,138.000000,NaN,67.304893,55.862000,22382.000000,266.452381,63.034014,84.000000,11.000000,11.000000,19689.000000,246.937888,NaN,NaN,NaN,NaN,
200.000000,NaN,NaN,3525156499.527000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,15186.000000,82.983607,71.651820,183.000000,12539.000000,68.519126,2647.000000,14.464481,5.205407,183.000000,NaN,86.981995,69.644913,32650.000000,267.622951,200.151279,122.000000,15.000000,15.000000,30003.000000,253.158470,NaN,NaN,NaN,NaN,
201.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
202.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
203.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
204.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
205.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
206.000000,NaN,NaN,3525156499.532000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,27269.000000,197.601449,178.831427,138.000000,20348.000000,147.449275,6921.000000,50.152174,27.028210,138.000000,NaN,51.442997,64.559982,13687.000000,142.572917,52.360440,96.000000,11.000000,11.000000,6766.000000,92.420743,NaN,NaN,NaN,NaN,
