stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525324133.652000;version=20150903_v1;numObjects=379;numSpines=263;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
54,spineROI,0,146.72,116.19,19,,,2,562,11.938,3.7785,0,253.7,radius1,1,146.41,115.54,19.081,2013-02-11,10:22:56,2015-09-15,10:08:16,3443422976.000000,3525156496.954000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
54,spineROI,0,145.01,119.82,12,,,2,546,7.6719,-0.48795,0,270.65,radius1,1,143.02,117.95,13.016,2013-02-11,10:22:56,2015-09-17,08:17:48,3443422976.000000,3525322668.159000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
61,pivotPnt,3,142.74,116.87,14,,,2,548,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
62,controlPnt,2,137.88,122.76,6,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
63,controlPnt,2,142.74,117.36,13,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
64,controlPnt,2,147.78,112.14,22,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
65,controlPnt,2,150.66,108,30,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
66,controlPnt,2,153.54,102.78,34,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,170.25,121.3,5,,,3,642,3.1135,-13.817,0,105.66,radius2,2,170.8,119.81,5.4375,2013-02-11,11:05:36,2015-09-15,10:08:16,3443425536.000000,3525156496.965000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,160.77,110.29,12,,,3,698,16.931,0,0,95.115,radius2,2,161.83,109.56,10.926,2013-02-11,11:05:36,2015-09-17,08:17:48,3443425536.000000,3525322668.160000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,158.47,106.2,21,,,3,722,22.239,5.3083,0,93.37,radius2,2,159.35,105.4,19.983,2013-02-11,11:05:36,2015-09-15,10:08:16,3443425536.000000,3525156496.971000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
